BTC,0.56,4.75,18.45
ETH,0.35,-0.23,-2.51
BCH,0.25,0.42,-2.34
XRP,0.41,-1.18,-11.46
MIOTA,0.33,17.08,172.52
DASH,0.21,-0.43,21.45
LTC,0.26,3.94,9.27
BTG,0.08,-2.3,-6.55
XMR,1.14,25.07,32.22
ADA,2.01,-0.99,55.6
ETC,1.22,0.1,-10.98
XEM,2.75,6.99,21.84
NEO,-1.04,-2.83,3.49
XLM,4.56,25.0,70.58
EOS,5.63,4.95,35.02
LSK,3.31,18.71,25.0
BCC,0.43,3.65,15.31
OMG,1.73,3.18,8.4
QTUM,0.18,-3.08,-13.42
ZEC,0.24,0.53,-10.5
USDT,0.13,-0.14,0.06
STRAT,1.42,6.11,29.01
WAVES,-0.26,13.87,25.83
HSR,0.32,-2.37,-15.92
MONA,5.6,41.09,81.37
ARDR,1.4,9.39,68.44
PPT,1.63,5.99,32.28
ARK,2.35,17.31,32.64
BTS,-0.03,-0.78,7.25
NXT,0.66,-5.21,114.92
VTC,3.12,19.13,82.54
BCN,0.7,7.43,24.2
REP,0.2,-0.42,24.34
STEEM,1.9,4.53,26.5
DCR,0.91,0.78,3.44
KMD,1.15,7.92,9.23
QASH,-0.27,13.46,-24.25
SALT,2.35,0.48,50.79
GNT,1.04,3.76,3.53
PIVX,0.61,-0.96,22.58
SC,0.39,-11.35,45.27
VERI,8.71,33.95,40.73
PAY,1.13,4.7,6.76
DOGE,-0.12,9.82,17.99
MAID,0.52,6.71,14.41
BNB,1.22,8.13,36.8
SNT,1.16,-1.74,85.11
POWR,-0.13,-2.36,6.35
WTC,0.34,3.05,67.4
DGD,0.33,-1.22,-0.2
EMC2,-0.43,18.96,131.75
BAT,0.39,10.58,11.44
FCT,-0.79,3.8,0.41
SYS,-1.38,-3.59,23.45
KNC,1.0,13.44,22.17
BTCD,1.98,2.17,8.62
XUC,-2.27,6.53,-18.41
GBYTE,3.42,0.72,0.53
GAS,0.12,-8.16,-5.4
VEN,-0.49,34.1,130.94
SAN,2.84,13.35,119.66
RDN,1.16,2.62,-26.72
ICN,-0.3,7.2,8.4
XZC,-0.41,9.96,9.01
CNX,0.15,4.35,54.94
GNO,-1.79,16.82,21.98
MCO,-2.2,29.19,104.09
DGB,0.55,-8.82,28.31
GAME,0.49,1.4,4.46
CVC,1.49,9.29,17.37
TRX,0.28,0.14,-8.29
AE,-0.49,0.72,6.34
MTL,-0.26,2.68,22.24
FUN,2.03,6.81,18.28
BLOCK,0.49,5.8,4.41
NXS,5.31,45.16,72.09
BTM,0.47,4.62,-3.86
BNT,-0.02,15.67,13.24
PURA,4.8,10.89,12.04
ETHOS,1.78,0.18,-5.66
EDG,0.22,2.11,59.11
STORJ,1.43,2.62,37.47
MNX,-13.11,-23.71,51.53
GXS,0.57,0.96,-7.86
XVG,0.45,-3.3,16.09
ZRX,0.39,-4.08,-7.1
NAV,4.06,21.01,45.3
SNGLS,1.02,2.07,11.45
ETP,-1.47,-5.7,-29.21
POT,1.44,3.21,47.91
SKY,1.42,13.59,77.3
ZEN,0.5,10.81,14.81
GRS,1.47,-1.41,100.8
ADX,0.56,7.62,13.51
PPC,1.41,0.32,46.93
LINK,2.13,8.44,34.26
UBQ,1.0,6.86,19.96
BAY,1.77,12.07,16.34
LRC,2.32,-0.43,35.31
SUB,-1.39,20.91,2.39
